"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.307258292E0,1.365161133E-1,1.149609375E-1,9.827513580E0
3.317236291E0,1.287322998E-1,1.079255676E-1,9.833650818E0
3.327214292E0,1.323248291E-1,1.212478638E-1,9.832752686E0
3.337192292E0,1.260379028E-1,1.152603149E-1,9.827214203E0
3.347170291E0,1.368154907E-1,1.121168518E-1,9.812395020E0
3.357148292E0,1.309776306E-1,1.086740112E-1,9.852810974E0
3.367126292E0,1.273851013E-1,1.210981750E-1,9.831555176E0
3.377103291E0,1.219963074E-1,1.278341675E-1,9.808203735E0
3.387081292E0,1.255888367E-1,1.242416382E-1,9.830058289E0
3.397059292E0,1.303788757E-1,1.242416382E-1,9.840536499E0
3.407037291E0,1.347198486E-1,1.288819885E-1,9.825717316E0
3.417015292E0,1.330732727E-1,1.194515991E-1,9.833201752E0
3.426993292E0,1.266366577E-1,1.191522217E-1,9.823921051E0
3.436971292E0,1.291813660E-1,1.213975525E-1,9.837093658E0
3.446949292E0,1.390608215E-1,1.155596924E-1,9.829160156E0
3.456927292E0,1.345701599E-1,1.104702759E-1,9.820627899E0
3.466905292E0,1.318757629E-1,1.169068909E-1,9.822124786E0
3.476883291E0,1.269360352E-1,1.270857239E-1,9.815239105E0
3.486861292E0,1.258882141E-1,1.321751404E-1,9.830956421E0
3.496839292E0,1.275347900E-1,1.329235840E-1,9.820328522E0
3.506817291E0,1.308279419E-1,1.145118713E-1,9.811197510E0
3.516795292E0,1.478924561E-1,1.167572021E-1,9.809401245E0
3.526773292E0,1.282832336E-1,1.213975525E-1,9.846524048E0
3.536751291E0,1.242416382E-1,1.148112488E-1,9.830956421E0
3.546729292E0,1.157093811E-1,1.149609375E-1,9.808203735E0
3.556707292E0,1.239422607E-1,1.291813660E-1,9.832602997E0
3.566685291E0,1.344204712E-1,1.311273193E-1,9.829160156E0
3.576663292E0,1.408570862E-1,1.067280579E-1,9.830058289E0
3.586641292E0,1.368154907E-1,1.127156067E-1,9.824070740E0
3.596619291E0,1.185534668E-1,1.255888367E-1,9.837393036E0
3.606597292E0,1.142124939E-1,1.225950623E-1,9.840835876E0
3.616575292E0,1.320254517E-1,1.115180969E-1,9.829459534E0
3.626553291E0,1.426533508E-1,1.185534668E-1,9.823022919E0
3.636531292E0,1.291813660E-1,1.281335449E-1,9.827513580E0
3.646509292E0,1.221459961E-1,1.233435059E-1,9.828112335E0
3.656487291E0,1.113684082E-1,1.179547119E-1,9.819879456E0
3.666465292E0,1.196012878E-1,1.248403931E-1,9.836345215E0
3.676443292E0,1.308279419E-1,1.176553345E-1,9.803114319E0
3.686421042E0,1.233435059E-1,1.190025330E-1,9.809700623E0
3.696399041E0,1.255888367E-1,9.624984741E-2,9.824968872E0
3.706377042E0,1.324745178E-1,1.218466187E-1,9.836494904E0
3.716355042E0,1.353186035E-1,1.143621826E-1,9.830806732E0
3.726333041E0,1.381626892E-1,1.115180969E-1,9.816286926E0
3.736311042E0,1.282832336E-1,1.122665405E-1,9.810299377E0
3.746289042E0,1.336720276E-1,1.133143616E-1,9.827663269E0
3.756267042E0,1.231938171E-1,1.181044006E-1,9.829758911E0
3.766245042E0,1.332229614E-1,1.172062683E-1,9.846823425E0
3.776223042E0,1.221459961E-1,1.187031555E-1,9.822723541E0
3.786201042E0,1.372645569E-1,1.160087585E-1,9.833501129E0
3.796179041E0,1.303788757E-1,1.151106262E-1,9.810000000E0
3.806157042E0,1.422042847E-1,1.157093811E-1,9.821226654E0
3.816135042E0,1.344204712E-1,1.164578247E-1,9.824370117E0
3.826113041E0,1.309776306E-1,1.071771240E-1,9.834249573E0
3.836091042E0,1.284329224E-1,1.234931946E-1,9.842482452E0
3.846069042E0,1.372645569E-1,1.324745178E-1,9.807754669E0
3.856047041E0,1.254391479E-1,1.152603149E-1,9.823322296E0
3.866025042E0,1.342707825E-1,1.172062683E-1,9.827363892E0
3.876003042E0,1.339714050E-1,1.067280579E-1,9.824070740E0
3.885981041E0,1.405577087E-1,1.284329224E-1,9.819729767E0
3.895959042E0,1.312770081E-1,1.267863464E-1,9.832902374E0
3.905937042E0,1.252894592E-1,1.237925720E-1,9.808652802E0
3.915915041E0,1.290316772E-1,1.083746338E-1,9.828411713E0
3.925893042E0,1.405577087E-1,1.151106262E-1,9.816735992E0
3.935871042E0,1.251397705E-1,1.222956848E-1,9.813293152E0
3.945849041E0,1.252894592E-1,1.154100037E-1,9.826465759E0
3.955827042E0,1.204994202E-1,1.131646729E-1,9.838141479E0
3.965805042E0,1.359173584E-1,1.303788757E-1,9.830507355E0
3.975783041E0,1.342707825E-1,1.175056458E-1,9.826465759E0
3.985761042E0,1.263372803E-1,1.236428833E-1,9.825268250E0
3.995739042E0,1.243913269E-1,1.154100037E-1,9.833501129E0
4.005717041E0,1.251397705E-1,1.284329224E-1,9.835147705E0
4.015695042E0,1.308279419E-1,1.218466187E-1,9.836195526E0
